compound,n_total_spearman,unique_cell_lines_spearman,spearman_rho,spearman_p,direction,spearman_fdr,significant_fdr_0_05_spearman,significant_p_0_05_spearman,significant_p_0_10_spearman,n_total_mw,unique_cell_lines_mw,n_high,n_low,auc_mean_high,auc_mean_low,auc_median_high,auc_median_low,delta_mean_high_minus_low,delta_median_high_minus_low,mw_p,mw_fdr,significant_fdr_0_05_mw,significant_p_0_05_mw,significant_p_0_10_mw
ACIVICIN (BRD:BRD-K13050541-001-01-9),17,17,-0.37990196078431376,0.13254890262758853,negative,0.5308699567441867,False,False,False,,,,,,,,,,,,,,,
ACY-1215 (BRD:BRD-K82928847-001-04-7),19,19,-0.21052631578947367,0.3869732368316493,negative,0.7663692375297371,False,False,False,,,,,,,,,,,,,,,
ADAPREV (BRD:BRD-A73427433-240-01-3),19,19,-0.0456140350877193,0.8528960735031589,negative,0.9639855930264206,False,False,False,8.0,8.0,3.0,5.0,0.8113180136939713,0.7844311919382713,0.779275846336558,0.790246101814396,0.026886821755700008,-0.010970255477838031,1.0,1.0,False,False,False
ADAVOSERTIB (BRD:BRD-K54256913-001-08-7),16,16,0.2676470588235294,0.3162544185483094,positive,0.7273113963580073,False,False,False,,,,,,,,,,,,,,,
ADEFOVIR-DIPIVOXIL (BRD:BRD-K96159438-001-06-3),18,18,-0.13106295149638802,0.6041941281040611,negative,0.8544481574931787,False,False,False,6.0,6.0,3.0,3.0,0.8635895131726467,0.8597014813042733,0.872612381060753,0.863687373108725,0.003888031868373387,0.008925007952027997,1.0,1.0,False,False,False
AEE788 (BRD:BRD-K40718343-001-02-6),14,14,-0.3626373626373627,0.2025645438172416,negative,0.6285637561054869,False,False,False,7.0,7.0,3.0,4.0,0.84328476783972,0.9071458989221017,0.80112564475003,0.919227736781776,-0.06386113108238178,-0.11810209203174604,0.6285714285714286,0.8589641434262948,False,False,False
AEG3482 (BRD:BRD-K77634909-001-03-5),10,10,-0.24848484848484845,0.4887763045192432,negative,0.804321107938609,False,False,False,,,,,,,,,,,,,,,
AFATINIB (BRD:BRD-K66175015-001-12-4),14,14,-0.45494505494505494,0.10215352669182919,negative,0.466494998120727,False,False,False,,,,,,,,,,,,,,,
AFURESERTIB (BRD:BRD-K25412176-001-01-9),20,20,-0.4917293233082706,0.027658227513046155,negative,0.28755148979330303,False,True,True,7.0,7.0,3.0,4.0,0.7650441787873777,0.8369115959728672,0.749500459327703,0.8283055254969991,-0.0718674171854895,-0.07880506616929606,0.22857142857142856,0.519205298013245,False,False,False
AG-13736 (BRD:BRD-K29905972-001-06-3),12,12,-0.15384615384615385,0.6330906812462617,negative,0.8680420365534922,False,False,False,,,,,,,,,,,,,,,
AJMALINE (BRD:BRD-A48300215-001-04-8),13,13,-0.33516483516483514,0.26294314035936023,negative,0.6830530000476708,False,False,False,,,,,,,,,,,,,,,
AK-55409 (BRD:BRD-K58772419-001-07-0),21,21,0.3103896103896104,0.17087682060108259,positive,0.5932199448549884,False,False,False,,,,,,,,,,,,,,,
ALBENDAZOLE (BRD:BRD-K79131256-001-17-9),18,18,0.3766769865841073,0.12337214538125062,positive,0.5122689187573556,False,False,False,,,,,,,,,,,,,,,
ALECTINIB (BRD:BRD-K11267252-001-05-1),10,10,0.04242424242424241,0.9073638178128159,positive,0.9770759160106299,False,False,False,6.0,6.0,3.0,3.0,0.9555599663329186,0.904009967756513,0.9664568119297192,0.9612421078455642,0.05154999857640563,0.005214704084155031,1.0,1.0,False,False,False
