compound,n_total,unique_cell_lines,spearman_rho,spearman_p,direction,spearman_fdr,significant_fdr_0_05,significant_p_0_05,significant_p_0_10
MOZAVAPTAN (BRD:BRD-A31095847-001-02-3),20,20,-0.5503759398496241,0.011919637001913336,negative,0.22192498824595153,False,True,True
A-154475 (BRD:BRD-A27376179-001-01-3),15,15,0.6285714285714286,0.012079539175905755,positive,0.22192498824595153,False,True,True
ABT-751 (BRD:BRD-K91623615-001-05-0),20,20,0.5488721804511278,0.012202217962291389,positive,0.22192498824595153,False,True,True
SN38 (BRD:BRD-K89561498-001-01-7),16,16,0.6088235294117647,0.012315203198246461,positive,0.22192498824595153,False,True,True
NSC-632839 (BRD:BRD-K81197548-003-01-4),19,19,0.5578947368421052,0.013059921195492315,positive,0.2306382083123943,False,True,True
IDARUBICIN (BRD:BRD-K69650333-003-14-0),19,19,0.5526315789473685,0.014134856843017749,positive,0.24256264117551216,False,True,True
FEXINIDAZOLE (BRD:BRD-K37069697-001-01-3),11,11,0.7090909090909092,0.014552051953727713,positive,0.24256264117551216,False,True,True
FILANESIB (BRD:BRD-K37379014-001-02-0),14,14,0.6351648351648352,0.014657881327289134,positive,0.24256264117551216,False,True,True
BROXYQUINOLINE (BRD:BRD-K23301018-001-11-7),15,15,0.6142857142857142,0.01483395540597696,positive,0.24256264117551216,False,True,True
DICLAZURIL (BRD:BRD-A06426627-001-03-5),20,20,0.5338345864661653,0.015337046800217394,positive,0.2441677750204731,False,True,True
NMS-1286937 (BRD:BRD-K83699324-001-01-1),20,20,0.5308270676691729,0.01603544437677618,positive,0.2441677750204731,False,True,True
GEFITINIB (BRD:BRD-K64052750-001-22-5),18,18,-0.5583075335397317,0.01603820039772077,negative,0.2441677750204731,False,True,True
TIVANTINIB (BRD:BRD-K33379087-001-07-5),18,18,0.5583075335397317,0.01603820039772077,positive,0.2441677750204731,False,True,True
BUTYLSCOPOLAMINE-BROMIDE (BRD:BRD-A53951045-004-01-6),12,12,0.6713286713286714,0.016831456186893416,positive,0.24532142067760862,False,True,True
BI-2536 (BRD:BRD-K64890080-001-13-8),19,19,0.5403508771929825,0.01691948997160229,positive,0.24532142067760862,False,True,True
AZD5438 (BRD:BRD-K72414522-001-06-7),21,21,0.5142857142857142,0.017071353141816504,positive,0.24532142067760862,False,True,True
PF-03758309 (BRD:BRD-K37764012-001-04-1),16,16,0.5852941176470587,0.01722528661609483,positive,0.24532142067760862,False,True,True
