gene_original,SYMBOL,ENTREZID
CRAMP1 (57585),CRAMP1,57585
TEAD3 (7005),TEAD3,7005
SELE (6401),SELE,6401
DNAJC11 (55735),DNAJC11,55735
MYLIP (29116),MYLIP,29116
NOX1 (27035),NOX1,27035
E2F2 (1870),E2F2,1870
PSMB1 (5689),PSMB1,5689
SYN1 (6853),SYN1,6853
JARID2 (3720),JARID2,3720
CDKL5 (6792),CDKL5,6792
CAMK1G (57172),CAMK1G,57172
CDK11A (728642),CDK11A,728642
NADK (65220),NADK,65220
TFAP2B (7021),TFAP2B,7021
DLEC1 (9940),DLEC1,9940
CYTH3 (9265),CYTH3,9265
ADAM22 (53616),ADAM22,53616
SYPL1 (6856),SYPL1,6856
CYB561 (1534),CYB561,1534
SPAG9 (9043),SPAG9,9043
CELSR3 (1951),CELSR3,1951
AASS (10157),AASS,10157
PLEKHG6 (55200),PLEKHG6,55200
SS18L2 (51188),SS18L2,51188
MPND (84954),MPND,84954
MGST1 (4257),MGST1,4257
CRY1 (1407),CRY1,1407
PGLYRP1 (8993),PGLYRP1,8993
NFIX (4784),NFIX,4784
ST3GAL1 (6482),ST3GAL1,6482
MMP25 (64386),MMP25,64386
IL32 (9235),IL32,9235
PKD1 (5310),PKD1,5310
MAPK8IP2 (23542),MAPK8IP2,23542
MED24 (9862),MED24,9862
RHOBTB2 (23221),RHOBTB2,23221
HEATR5B (54497),HEATR5B,54497
SEC62 (7095),SEC62,7095
RPS20 (6224),RPS20,6224
CSDE1 (7812),CSDE1,7812
UBE3C (9690),UBE3C,9690
REV3L (5980),REV3L,5980
TENM1 (10178),TENM1,10178
PAX7 (5081),PAX7,5081
MASP2 (10747),MASP2,10747
IYD (389434),IYD,389434
FAM76A (199870),FAM76A,199870
TRAF3IP3 (80342),TRAF3IP3,80342
POMT2 (29954),POMT2,29954
VTA1 (51534),VTA1,51534
MLXIPL (51085),MLXIPL,51085
BAZ1B (9031),BAZ1B,9031
RANBP9 (10048),RANBP9,10048
ETV7 (51513),ETV7,51513
