gene_original,SYMBOL,ENTREZID
FANCE (2178),FANCE,2178
TULP1 (7287),TULP1,7287
SLC26A8 (116369),SLC26A8,116369
MAPK14 (1432),MAPK14,1432
RHAG (6005),RHAG,6005
KCTD20 (222658),KCTD20,222658
STK38 (11329),STK38,11329
SRSF3 (6428),SRSF3,6428
MRPL18 (29074),MRPL18,29074
MCM3 (4172),MCM3,4172
RNF8 (9025),RNF8,9025
PHACTR1 (221692),PHACTR1,221692
MDGA1 (266727),MDGA1,266727
CILK1 (22858),CILK1,22858
FBXO9 (26268),FBXO9,26268
CD83 (9308),CD83,9308
MDN1 (23195),MDN1,23195
SAYSD1 (55776),SAYSD1,55776
BMP5 (653),BMP5,653
BACH2 (60468),BACH2,60468
RBM24 (221662),RBM24,221662
CAP2 (10486),CAP2,10486
ZNF451 (26036),ZNF451,26036
BAG2 (9532),BAG2,9532
RAB23 (51715),RAB23,51715
TSPO2 (222642),TSPO2,222642
GPR63 (81491),GPR63,81491
FBXL4 (26235),FBXL4,26235
CCNC (892),CCNC,892
PRDM13 (59336),PRDM13,59336
E2F3 (1871),E2F3,1871
PTP4A1 (7803),PTP4A1,7803
SIM1 (6492),SIM1,6492
ASCC3 (10973),ASCC3,10973
POPDC1 (11149),POPDC1,11149
COL9A1 (1297),COL9A1,1297
MED23 (9439),MED23,9439
WASF1 (8936),WASF1,8936
GPLD1 (2822),GPLD1,2822
ALDH5A1 (7915),ALDH5A1,7915
CRYBG1 (202),CRYBG1,202
VNN1 (8876),VNN1,8876
VNN2 (8875),VNN2,8875
ACOT13 (55856),ACOT13,55856
SMAP1 (60682),SMAP1,60682
RPS12 (6206),RPS12,6206
C6orf62 (81688),C6orf62,81688
B3GAT2 (135152),B3GAT2,135152
GMNN (51053),GMNN,51053
EYA4 (2070),EYA4,2070
SOBP (55084),SOBP,55084
NR2E1 (7101),NR2E1,7101
SNX3 (8724),SNX3,8724
HBS1L (10767),HBS1L,10767
TRIM38 (10475),TRIM38,10475
PEX7 (5191),PEX7,5191
ZBTB24 (9841),ZBTB24,9841
FIG4 (9896),FIG4,9896
PERP (64065),PERP,64065
ARFGEF3 (57221),ARFGEF3,57221
SLC16A10 (117247),SLC16A10,117247
HECA (51696),HECA,51696
ADGRG6 (57211),ADGRG6,57211
PHACTR2 (9749),PHACTR2,9749
EPM2A (7957),EPM2A,7957
SLC39A7 (7922),SLC39A7,7922
PHF1 (5252),PHF1,5252
CUTA (51596),CUTA,51596
PACRG (135138),PACRG,135138
QKI (9444),QKI,9444
PDE10A (10846),PDE10A,10846
MDFI (4188),MDFI,4188
TFEB (7942),TFEB,7942
SMOC2 (64094),SMOC2,64094
CCND3 (896),CCND3,896
BYSL (705),BYSL,705
FAM120B (84498),FAM120B,84498
TBP (6908),TBP,6908
GUCA1B (2979),GUCA1B,2979
BICRAL (23506),BICRAL,23506
PPP2R5D (5528),PPP2R5D,5528
MRPL2 (51069),MRPL2,51069
PTK7 (5754),PTK7,5754
SRF (6722),SRF,6722
CUL9 (23113),CUL9,23113
DNPH1 (10591),DNPH1,10591
DUSP22 (56940),DUSP22,56940
EXOC2 (55770),EXOC2,55770
COX7A2 (1347),COX7A2,1347
TMEM30A (55754),TMEM30A,55754
GMDS (2762),GMDS,2762
SENP6 (26054),SENP6,26054
IMPG1 (3617),IMPG1,3617
VEGFA (7422),VEGFA,7422
PRP4K (8899),PRP4K,8899
TTK (7272),TTK,7272
SLC29A1 (2030),SLC29A1,2030
CCN6 (8838),CCN6,8838
BTN2A1 (11120),BTN2A1,11120
LAMA4 (3910),LAMA4,3910
TENT5A (55603),TENT5A,55603
CLIC5 (53405),CLIC5,53405
FBRSL1 (57666),FBRSL1,57666
ENPP5 (59084),ENPP5,59084
PRSS16 (10279),PRSS16,10279
TBX18 (9096),TBX18,9096
ERBIN (55914),ERBIN,55914
HARS2 (23438),HARS2,23438
NUDT12 (83594),NUDT12,83594
CEP72 (55722),CEP72,55722
MAN2A1 (4124),MAN2A1,4124
SEMA5A (9037),SEMA5A,9037
TENT4A (11044),TENT4A,11044
GHR (2690),GHR,2690
HMGCS1 (3157),HMGCS1,3157
DAP (1611),DAP,1611
NME5 (8382),NME5,8382
BRD8 (10902),BRD8,10902
KIF20A (10112),KIF20A,10112
NNT (23530),NNT,23530
MRPS30 (10884),MRPS30,10884
HSPA9 (3313),HSPA9,3313
MRPS27 (23107),MRPS27,23107
PFDN1 (5201),PFDN1,5201
HBEGF (1839),HBEGF,1839
LOX (4015),LOX,4015
APBB3 (10307),APBB3,10307
TMCO6 (55374),TMCO6,55374
SPARC (6678),SPARC,6678
IK (3550),IK,3550
HMGCR (3156),HMGCR,3156
CERT1 (10087),CERT1,10087
FAF2 (23197),FAF2,23197
HAND1 (9421),HAND1,9421
PDE8B (8622),PDE8B,8622
CLK4 (57396),CLK4,57396
HAVCR1 (26762),HAVCR1,26762
GRM6 (2916),GRM6,2916
ITK (3702),ITK,3702
RNF130 (55819),RNF130,55819
THG1L (54974),THG1L,54974
ARSB (411),ARSB,411
CLINT1 (9685),CLINT1,9685
THBS4 (7060),THBS4,7060
CNOT6 (57472),CNOT6,57472
BTNL8 (79908),BTNL8,79908
TTC1 (7265),TTC1,7265
MSH3 (4437),MSH3,4437
RASGRF2 (5924),RASGRF2,5924
CCNG1 (900),CCNG1,900
POLR3G (10622),POLR3G,10622
DROSHA (29102),DROSHA,29102
CDH6 (1004),CDH6,1004
LMNB1 (4001),LMNB1,4001
ARRDC3 (57561),ARRDC3,57561
GOLPH3 (64083),GOLPH3,64083
SUB1 (10923),SUB1,10923
NPR3 (4883),NPR3,4883
ARB2A (83989),ARB2A,83989
SLC27A6 (28965),SLC27A6,28965
TARS1 (6897),TARS1,6897
IRX4 (50805),IRX4,50805
LNPEP (4012),LNPEP,4012
PDE4D (5144),PDE4D,5144
RAD1 (5810),RAD1,5810
BRIX1 (55299),BRIX1,55299
AGXT2 (64902),AGXT2,64902
PRLR (5618),PRLR,5618
SLC12A7 (10723),SLC12A7,10723
RAD50 (10111),RAD50,10111
ST8SIA4 (7903),ST8SIA4,7903
GNPDA1 (10007),GNPDA1,10007
PCDH12 (51294),PCDH12,51294
SKP1 (6500),SKP1,6500
NUP155 (9631),NUP155,9631
PPP2CA (5515),PPP2CA,5515
FGF1 (2246),FGF1,2246
NR3C1 (2908),NR3C1,2908
C5orf15 (56951),C5orf15,56951
PPWD1 (23398),PPWD1,23398
LIFR (3977),LIFR,3977
TRIM23 (373),TRIM23,373
TRAPPC13 (80006),TRAPPC13,80006
C9 (735),C9,735
SEC24A (10802),SEC24A,10802
TXNDC15 (79770),TXNDC15,79770
TTC33 (23548),TTC33,23548
RARS1 (5917),RARS1,5917
WWC1 (23286),WWC1,23286
MACROH2A1 (9555),MACROH2A1,9555
TCERG1 (10915),TCERG1,10915
DPYSL3 (1809),DPYSL3,1809
SMAD5 (4090),SMAD5,4090
CSNK1A1 (1452),CSNK1A1,1452
HMGXB3 (22993),HMGXB3,22993
ERGIC1 (57222),ERGIC1,57222
PDGFRB (5159),PDGFRB,5159
ATP6V0E1 (8992),ATP6V0E1,8992
BNIP1 (662),BNIP1,662
STC2 (8614),STC2,8614
CPEB4 (80315),CPEB4,80315
HRH2 (3274),HRH2,3274
DBN1 (1627),DBN1,1627
ZNF346 (23567),ZNF346,23567
UNC5A (90249),UNC5A,90249
EHHADH (1962),EHHADH,1962
CNTN3 (5067),CNTN3,5067
SMC4 (10051),SMC4,10051
SELENOK (58515),SELENOK,58515
ACTR8 (93973),ACTR8,93973
TBCCD1 (55171),TBCCD1,55171
TIMMDC1 (51300),TIMMDC1,51300
CRBN (51185),CRBN,51185
BCL6 (604),BCL6,604
HGD (3081),HGD,3081
CLDN16 (10686),CLDN16,10686
ARL6 (84100),ARL6,84100
NPHP3 (27031),NPHP3,27031
AMOTL2 (51421),AMOTL2,51421
NIT2 (56954),NIT2,56954
FAM162A (26355),FAM162A,26355
OGG1 (4968),OGG1,4968
KPNA1 (3836),KPNA1,3836
PCCB (5096),PCCB,5096
UBE3A (7337),UBE3A,7337
ARMC8 (25852),ARMC8,25852
CEP70 (80321),CEP70,80321
RBP2 (5948),RBP2,5948
RBP1 (5947),RBP1,5947
SLC25A36 (55186),SLC25A36,55186
GRK7 (131890),GRK7,131890
RNF7 (9616),RNF7,9616
TFDP2 (7029),TFDP2,7029
XRN1 (54464),XRN1,54464
KAT2B (8850),KAT2B,8850
BCHE (590),BCHE,590
PDCD10 (11235),PDCD10,11235
LRRC31 (79782),LRRC31,79782
WNT5A (7474),WNT5A,7474
PFKFB4 (5210),PFKFB4,5210
COL7A1 (1294),COL7A1,1294
FGF12 (2257),FGF12,2257
PRKAR2A (5576),PRKAR2A,5576
HES1 (3280),HES1,3280
USP4 (7375),USP4,7375
ACAP2 (23527),ACAP2,23527
ECT2 (1894),ECT2,1894
GNAT1 (2779),GNAT1,2779
GNAI2 (2771),GNAI2,2771
TFG (10342),TFG,10342
USP9Y (8287),USP9Y,8287
HYAL1 (3373),HYAL1,3373
TUSC2 (11334),TUSC2,11334
NPRL2 (10641),NPRL2,10641
RPL24 (6152),RPL24,6152
CYB561D2 (11068),CYB561D2,11068
CEP15 (57415),CEP15,57415
FXR1 (8087),FXR1,8087
CBLB (868),CBLB,868
BBX (56987),BBX,56987
IFT57 (55081),IFT57,55081
GNB4 (59345),GNB4,59345
IQCG (84223),IQCG,84223
GBE1 (2632),GBE1,2632
UMPS (7372),UMPS,7372
NCBP2 (22916),NCBP2,22916
SNX4 (8723),SNX4,8723
C3orf52 (79669),C3orf52,79669
FRMD4B (23150),FRMD4B,23150
SLC41A3 (54946),SLC41A3,54946
ROPN1B (152015),ROPN1B,152015
PLXNA1 (5361),PLXNA1,5361
ATP6V1A (523),ATP6V1A,523
ABTB1 (80325),ABTB1,80325
PODXL2 (50512),PODXL2,50512
UPK1B (7348),UPK1B,7348
CSPG5 (10675),CSPG5,10675
KLHL18 (23276),KLHL18,23276
SCAP (22937),SCAP,22937
EFCC1 (79825),EFCC1,79825
CFAP92 (57501),CFAP92,57501
NEK11 (79858),NEK11,79858
MRPL3 (11222),MRPL3,11222
PLSCR4 (57088),PLSCR4,57088
HEMK1 (51409),HEMK1,51409
CISH (1154),CISH,1154
MAPKAPK3 (7867),MAPKAPK3,7867
ACVR2B (93),ACVR2B,93
WDR48 (57599),WDR48,57599
COMMD2 (51122),COMMD2,51122
GORASP1 (64689),GORASP1,64689
PEX5L (51555),PEX5L,51555
RRP9 (9136),RRP9,9136
ABCC5 (10057),ABCC5,10057
AADAC (13),AADAC,13
ABHD14B (84836),ABHD14B,84836
EIF1B (10289),EIF1B,10289
ARHGEF26 (26084),ARHGEF26,26084
KLHL24 (54800),KLHL24,54800
PLCH1 (23007),PLCH1,23007
VIPR1 (7433),VIPR1,7433
DNAH1 (25981),DNAH1,25981
SSR3 (6747),SSR3,6747
ZBTB47 (92999),ZBTB47,92999
TNNC1 (7134),TNNC1,7134
NKTR (4820),NKTR,4820
CLCN2 (1181),CLCN2,1181
FOXP1 (27086),FOXP1,27086
EIF4G1 (1981),EIF4G1,1981
SPCS1 (28972),SPCS1,28972
NEK4 (6787),NEK4,6787
SLC4A3 (6508),SLC4A3,6508
INO80D (54891),INO80D,54891
EEF1B2 (1933),EEF1B2,1933
ADAM23 (8745),ADAM23,8745
DGUOK (1716),DGUOK,1716
MOB1A (55233),MOB1A,55233
KANSL3 (55683),KANSL3,55683
LMAN2L (81562),LMAN2L,81562
RTKN (6242),RTKN,6242
TTL (150465),TTL,150465
IL1A (3552),IL1A,3552
CCL20 (6364),CCL20,6364
PIKFYVE (200576),PIKFYVE,200576
KCNIP3 (30818),KCNIP3,30818
FAHD2A (51011),FAHD2A,51011
NCL (4691),NCL,4691
ACTR1B (10120),ACTR1B,10120
SLC35F5 (80255),SLC35F5,80255
ZAP70 (7535),ZAP70,7535
ACTR3 (10096),ACTR3,10096
STEAP3 (55240),STEAP3,55240
EPB41L5 (57669),EPB41L5,57669
TFCP2L1 (29842),TFCP2L1,29842
SF3B6 (51639),SF3B6,51639
TP53I3 (9540),TP53I3,9540
DNAJC27 (51277),DNAJC27,51277
STAM2 (10254),STAM2,10254
OTOF (9381),OTOF,9381
GPD2 (2820),GPD2,2820
CENPA (1058),CENPA,1058
CYTIP (9595),CYTIP,9595
ACVR1 (90),ACVR1,90
TANC1 (85461),TANC1,85461
SLC30A3 (7781),SLC30A3,7781
MPV17 (4358),MPV17,4358
GTF3C2 (2976),GTF3C2,2976
EIF2B4 (8890),EIF2B4,8890
NRBP1 (29959),NRBP1,29959
ITGB6 (3694),ITGB6,3694
FNDC4 (64838),FNDC4,64838
ITGA4 (3676),ITGA4,3676
PSMD14 (10213),PSMD14,10213
SNX17 (9784),SNX17,9784
ASB3 (51130),ASB3,51130
PPM1G (5496),PPM1G,5496
PDE1A (5136),PDE1A,5136
REEP6 (92840),REEP6,92840
PCSK4 (54760),PCSK4,54760
GCG (2641),GCG,2641
APC2 (10297),APC2,10297
IFIH1 (64135),IFIH1,64135
RPS15 (6209),RPS15,6209
GCA (25801),GCA,25801
INO80B (83444),INO80B,83444
MOGS (7841),MOGS,7841
TTC31 (64427),TTC31,64427
NDUFS7 (374291),NDUFS7,374291
PCGF1 (84759),PCGF1,84759
GRB14 (2888),GRB14,2888
CLIP4 (79745),CLIP4,79745
TLX2 (3196),TLX2,3196
SPTBN1 (6711),SPTBN1,6711
AUP1 (550),AUP1,550
RTN4 (57142),RTN4,57142
HTRA2 (27429),HTRA2,27429
LOXL3 (84695),LOXL3,84695
DOK1 (1796),DOK1,1796
GALNT3 (2591),GALNT3,2591
POLE4 (56655),POLE4,56655
TACR1 (6869),TACR1,6869
CCDC88A (55704),CCDC88A,55704
ACADL (33),ACADL,33
EVA1A (84141),EVA1A,84141
MRPL19 (9801),MRPL19,9801
LANCL1 (10314),LANCL1,10314
WDR75 (84128),WDR75,84128
EFEMP1 (2202),EFEMP1,2202
REG1A (5967),REG1A,5967
FANCL (55120),FANCL,55120
FN1 (2335),FN1,2335
STAT1 (6772),STAT1,6772
GLS (2744),GLS,2744
PAPOLG (64895),PAPOLG,64895
DNAH6 (1768),DNAH6,1768
PECR (55825),PECR,55825
UNC50 (25972),UNC50,25972
IGFBP2 (3485),IGFBP2,3485
ELMOD3 (84173),ELMOD3,84173
IGFBP5 (3488),IGFBP5,3488
USP34 (9736),USP34,9736
EFHD1 (80303),EFHD1,80303
KCNJ13 (3769),KCNJ13,3769
CCT4 (10575),CCT4,10575
GGCX (2677),GGCX,2677
EHBP1 (23301),EHBP1,23301
OTX1 (5013),OTX1,5013
TXNDC9 (10190),TXNDC9,10190
COQ10B (80219),COQ10B,80219
SF3B1 (23451),SF3B1,23451
ST3GAL5 (8869),ST3GAL5,8869
CHST10 (9486),CHST10,9486
PDCL3 (79031),PDCL3,79031
MOB4 (25843),MOB4,25843
HSPE1 (3336),HSPE1,3336
KDM3A (55818),KDM3A,55818
PLCD4 (84812),PLCD4,84812
CHMP3 (51652),CHMP3,51652
ZNF142 (7701),ZNF142,7701
IL1R2 (7850),IL1R2,7850
IL1R1 (3554),IL1R1,3554
WNT6 (7475),WNT6,7475
IL1RL2 (8808),IL1RL2,8808
IL1RL1 (9173),IL1RL1,9173
IL18R1 (8809),IL18R1,8809
SLC9A2 (6549),SLC9A2,6549
FHL2 (2274),FHL2,2274
MLPH (79083),MLPH,79083
CNPPD1 (27013),CNPPD1,27013
UXS1 (80146),UXS1,80146
ABCB6 (10058),ABCB6,10058
STK16 (8576),STK16,8576
HDLBP (3069),HDLBP,3069
PPP1R7 (5510),PPP1R7,5510
PASK (23178),PASK,23178
STK25 (10494),STK25,10494
TPO (7173),TPO,7173
PROC (5624),PROC,5624
ID2 (3398),ID2,3398
TAF1B (9014),TAF1B,9014
HPCAL1 (3241),HPCAL1,3241
ODC1 (4953),ODC1,4953
BIRC6 (57448),BIRC6,57448
NOL10 (79954),NOL10,79954
PLEKHB2 (55041),PLEKHB2,55041
GORASP2 (26003),GORASP2,26003
STRN (6801),STRN,6801
CEBPZ (10153),CEBPZ,10153
PRKD3 (23683),PRKD3,23683
DCAF17 (80067),DCAF17,80067
QPCT (25797),QPCT,25797
RAB3GAP1 (22930),RAB3GAP1,22930
SLC25A12 (8604),SLC25A12,8604
RMDN2 (151393),RMDN2,151393
DLX2 (1746),DLX2,1746
LCT (3938),LCT,3938
DARS1 (1615),DARS1,1615
SRSF7 (6432),SRSF7,6432
SDC1 (6382),SDC1,6382
PLCL1 (5334),PLCL1,5334
SLC1A4 (6509),SLC1A4,6509
SOS1 (6654),SOS1,6654
KYNU (8942),KYNU,8942
WIPF1 (7456),WIPF1,7456
ORC2 (4999),ORC2,4999
COX7A2L (9167),COX7A2L,9167
PNO1 (56902),PNO1,56902
ORC4 (5000),ORC4,5000
PLEK (5341),PLEK,5341
RND3 (390),RND3,390
ATF2 (1386),ATF2,1386
THADA (63892),THADA,63892
AAK1 (22848),AAK1,22848
TRAK2 (66008),TRAK2,66008
C2orf42 (54980),C2orf42,54980
TIA1 (7072),TIA1,7072
PCYOX1 (51449),PCYOX1,51449
KISS1R (84634),KISS1R,84634
EPAS1 (2034),EPAS1,2034
ARID3A (1820),ARID3A,1820
SUMO1 (7341),SUMO1,7341
CD207 (50489),CD207,50489
GRIN3B (116444),GRIN3B,116444
VAX2 (25806),VAX2,25806
ATP6V1B1 (525),ATP6V1B1,525
NFE2L2 (4780),NFE2L2,4780
MSH6 (2956),MSH6,2956
PLEKHA3 (65977),PLEKHA3,65977
SPR (6697),SPR,6697
EPHA4 (2043),EPHA4,2043
PARD3B (117583),PARD3B,117583
FARSB (10056),FARSB,10056
ALMS1 (7840),ALMS1,7840
BCL9 (607),BCL9,607
PRRX1 (5396),PRRX1,5396
DHCR24 (1718),DHCR24,1718
DNAJC16 (23341),DNAJC16,23341
MARK1 (4139),MARK1,4139
TNR (7143),TNR,7143
MORN1 (79906),MORN1,79906
GPX7 (2882),GPX7,2882
CACYBP (27101),CACYBP,27101
SCP2 (6342),SCP2,6342
TPSG1 (25823),TPSG1,25823
PAPPA2 (60676),PAPPA2,60676
RALGPS2 (55103),RALGPS2,55103
ANGPTL1 (9068),ANGPTL1,9068
CEP104 (9731),CEP104,9731
FAM20B (9917),FAM20B,9917
TCEANC2 (127428),TCEANC2,127428
TMEM59 (9528),TMEM59,9528
LRRC42 (115353),LRRC42,115353
WRAP73 (49856),WRAP73,49856
MRPL37 (51253),MRPL37,51253
ICMT (23463),ICMT,23463
RPL22 (6146),RPL22,6146
CHD5 (26038),CHD5,26038
QSOX1 (5768),QSOX1,5768
STXBP3 (6814),STXBP3,6814
PHF13 (148479),PHF13,148479
ERRFI1 (54206),ERRFI1,54206
PARK7 (11315),PARK7,11315
ELAPOR1 (57535),ELAPOR1,57535
OPRD1 (4985),OPRD1,4985
AMPD2 (271),AMPD2,271
SRSF4 (6429),SRSF4,6429
MECR (51102),MECR,51102
KCNC4 (3749),KCNC4,3749
EDEM3 (80267),EDEM3,80267
WDR77 (79084),WDR77,79084
ATP5PB (515),ATP5PB,515
RAP1A (5906),RAP1A,5906
HDAC1 (3065),HDAC1,3065
CAPZA1 (829),CAPZA1,829
S100PBP (64766),S100PBP,64766
RNF19B (127544),RNF19B,127544
SCAMP3 (10067),SCAMP3,10067
TRIM62 (55223),TRIM62,55223
ASH1L (55870),ASH1L,55870
DLGAP3 (58512),DLGAP3,58512
SFPQ (6421),SFPQ,6421
RHOU (58480),RHOU,58480
GON4L (54856),GON4L,54856
ARHGEF2 (9181),ARHGEF2,9181
LAMTOR2 (28956),LAMTOR2,28956
MEF2D (4209),MEF2D,4209
DOCK7 (85440),DOCK7,85440
SRM (6723),SRM,6723
FBXO2 (26232),FBXO2,26232
FBXO6 (26270),FBXO6,26270
C1orf21 (81563),C1orf21,81563
SWT1 (54823),SWT1,54823
MAD2L2 (10459),MAD2L2,10459
DNAJC6 (9829),DNAJC6,9829
LEPR (3953),LEPR,3953
IVNS1ABP (10625),IVNS1ABP,10625
KIAA2013 (90231),KIAA2013,90231
MFN2 (9927),MFN2,9927
PRG4 (10216),PRG4,10216
MIIP (60672),MIIP,60672
SMG7 (9887),SMG7,9887
NCF2 (4688),NCF2,4688
PDC (5132),PDC,5132
SLC35D1 (23169),SLC35D1,23169
PLA2G4A (5321),PLA2G4A,5321
GADD45A (1647),GADD45A,1647
WLS (79971),WLS,79971
PRDM2 (7799),PRDM2,7799
RGS2 (5997),RGS2,5997
RPE65 (6121),RPE65,6121
RO60 (6738),RO60,6738
UCHL5 (51377),UCHL5,51377
BCAS2 (10286),BCAS2,10286
SRSF11 (9295),SRSF11,9295
CTH (1491),CTH,1491
AGMAT (79814),AGMAT,79814
OLFML3 (56944),OLFML3,56944
CFHR3 (10878),CFHR3,10878
PLEKHM2 (23207),PLEKHM2,23207
CRYZ (1429),CRYZ,1429
PHTF1 (10745),PHTF1,10745
ZBTB17 (7709),ZBTB17,7709
CD58 (965),CD58,965
TFAP2E (339488),TFAP2E,339488
TTF2 (8458),TTF2,8458
NR5A2 (2494),NR5A2,2494
KIF21B (23046),KIF21B,23046
TMEM9 (252839),TMEM9,252839
ADPRS (54936),ADPRS,54936
MAP7D1 (55700),MAP7D1,55700
WARS2 (10352),WARS2,10352
OSCP1 (127700),OSCP1,127700
MRPS15 (64960),MRPS15,64960
EXOC8 (149371),EXOC8,149371
GNPAT (8443),GNPAT,8443
TSNAX (7257),TSNAX,7257
AIRIM (54955),AIRIM,54955
RRAGC (64121),RRAGC,64121
NID1 (4811),NID1,4811
LGALS8 (3964),LGALS8,3964
NT5C1A (84618),NT5C1A,84618
HPCAL4 (51440),HPCAL4,51440
MTR (4548),MTR,4548
BMP8B (656),BMP8B,656
MYCL (4610),MYCL,4610
SIPA1L2 (57568),SIPA1L2,57568
RLF (6018),RLF,6018
KMO (8564),KMO,8564
ZNF684 (127396),ZNF684,127396
KCNQ4 (9132),KCNQ4,9132
RIMS3 (9783),RIMS3,9783
AKT3 (10000),AKT3,10000
ETV3 (2117),ETV3,2117
ACADM (34),ACADM,34
ST6GALNAC5 (81849),ST6GALNAC5,81849
ADGRL2 (23266),ADGRL2,23266
PADI2 (11240),PADI2,11240
SDHB (6390),SDHB,6390
MFAP2 (4237),MFAP2,4237
RPF1 (80135),RPF1,80135
KDM5B (10765),KDM5B,10765
UAP1 (6675),UAP1,6675
ACTL8 (81569),ACTL8,81569
CTBS (1486),CTBS,1486
RGS4 (5999),RGS4,5999
KLHL12 (59349),KLHL12,59349
SSX2IP (117178),SSX2IP,117178
ZNHIT6 (54680),ZNHIT6,54680
RBBP5 (5929),RBBP5,5929
GBP3 (2635),GBP3,2635
GBP1 (2633),GBP1,2633
KIF17 (57576),KIF17,57576
GPR89A (653519),GPR89A,653519
CDK18 (5129),CDK18,5129
RAB29 (8934),RAB29,8934
CD160 (11126),CD160,11126
ECE1 (1889),ECE1,1889
HMGCL (3155),HMGCL,3155
GALE (2582),GALE,2582
ID3 (3399),ID3,3399
CR2 (1380),CR2,1380
CD46 (4179),CD46,4179
PRPF3 (9129),PRPF3,9129
APH1A (51107),APH1A,51107
P3H1 (64175),P3H1,64175
SLC2A1 (6513),SLC2A1,6513
EBNA1BP2 (10969),EBNA1BP2,10969
CDC20 (991),CDC20,991
MPL (4352),MPL,4352
ARTN (9048),ARTN,9048
IPO13 (9670),IPO13,9670
ATP6V0B (533),ATP6V0B,533
B4GALT2 (8704),B4GALT2,8704
ERI3 (79033),ERI3,79033
PTCH2 (8643),PTCH2,8643
AKR1A1 (10327),AKR1A1,10327
PRDX1 (5052),PRDX1,5052
PIK3R3 (8503),PIK3R3,8503
TSPAN1 (10103),TSPAN1,10103
BLZF1 (8548),BLZF1,8548
CCDC181 (57821),CCDC181,57821
SLC19A2 (10560),SLC19A2,10560
FAAH (2166),FAAH,2166
NSUN4 (387338),NSUN4,387338
TMED5 (50999),TMED5,50999
DR1 (1810),DR1,1810
CNN3 (1266),CNN3,1266
PRRC2C (23215),PRRC2C,23215
F3 (2152),F3,2152
ABCD3 (5825),ABCD3,5825
VAMP4 (8674),VAMP4,8674
DPH5 (51611),DPH5,51611
PTBP2 (58155),PTBP2,58155
TNFSF4 (7292),TNFSF4,7292
PRDX6 (9588),PRDX6,9588
DARS2 (55157),DARS2,55157
IRF6 (3664),IRF6,3664
UTP25 (27042),UTP25,27042
PLPPR4 (9890),PLPPR4,9890
SERPINC1 (462),SERPINC1,462
RCAN3 (11123),RCAN3,11123
SYF2 (25949),SYF2,25949
RSRP1 (57035),RSRP1,57035
SLC35A3 (23443),SLC35A3,23443
RCOR3 (55758),RCOR3,55758
STMN1 (3925),STMN1,3925
MTFR1L (56181),MTFR1L,56181
MAN1C1 (57134),MAN1C1,57134
NEK2 (4751),NEK2,4751
RPS6KA1 (6195),RPS6KA1,6195
DHDDS (79947),DHDDS,79947
NENF (29937),NENF,29937
NSL1 (25936),NSL1,25936
PROX1 (5629),PROX1,5629
ARID1A (8289),ARID1A,8289
CENPF (1063),CENPF,1063
RPA2 (6118),RPA2,6118
PPP1R8 (5511),PPP1R8,5511
STX12 (23673),STX12,23673
MTARC2 (54996),MTARC2,54996
SLC5A9 (200010),SLC5A9,200010
OSBPL9 (114883),OSBPL9,114883
TXNDC12 (51060),TXNDC12,51060
ESYT2 (57488),ESYT2,57488
POLR1G (10849),POLR1G,10849
MESD (23184),MESD,23184
RCN2 (5955),RCN2,5955
CHRNB4 (1143),CHRNB4,1143
MUC5B (727897),MUC5B,727897
CTSD (1509),CTSD,1509
COLEC11 (78989),COLEC11,78989
STAG1 (10274),STAG1,10274
STK11 (6794),STK11,6794
KMT2A (4297),KMT2A,4297
TREH (11181),TREH,11181
IFT46 (56912),IFT46,56912
APOA1 (335),APOA1,335
ZNF541 (84215),ZNF541,84215
SLC8A2 (6543),SLC8A2,6543
KPTN (11133),KPTN,11133
RPS25 (6230),RPS25,6230
KIF14 (9928),KIF14,9928
TNNT2 (7139),TNNT2,7139
DDX59 (83479),DDX59,83479
CAMSAP2 (23271),CAMSAP2,23271
ATF6 (22926),ATF6,22926
MREG (55686),MREG,55686
FASTKD2 (22868),FASTKD2,22868
NRP2 (8828),NRP2,8828
CREB1 (1385),CREB1,1385
KLF7 (8609),KLF7,8609
B4GALT6 (9331),B4GALT6,9331
C1orf54 (79630),C1orf54,79630
CA14 (23632),CA14,23632
DNAI7 (55259),DNAI7,55259
IRAG2 (4033),IRAG2,4033
ATP10B (23120),ATP10B,23120
SPCS2 (9789),SPCS2,9789
USP35 (57558),USP35,57558
ELOVL4 (6785),ELOVL4,6785
CASP8AP2 (9994),CASP8AP2,9994
HMGN3 (9324),HMGN3,9324
UBE3D (90025),UBE3D,90025
CNR1 (1268),CNR1,1268
ANKRD13C (81573),ANKRD13C,81573
SGIP1 (84251),SGIP1,84251
PHF3 (23469),PHF3,23469
PLAGL1 (5325),PLAGL1,5325
FBXO30 (84085),FBXO30,84085
TNFAIP3 (7128),TNFAIP3,7128
AKAP7 (9465),AKAP7,9465
RAB32 (10981),RAB32,10981
MYB (4602),MYB,4602
ALDH8A1 (64577),ALDH8A1,64577
SGK1 (6446),SGK1,6446
RNF146 (81847),RNF146,81847
ARG1 (383),ARG1,383
CCN2 (1490),CCN2,1490
PMFBP1 (83449),PMFBP1,83449
FBXL5 (26234),FBXL5,26234
MED28 (80306),MED28,80306
SLC16A7 (9194),SLC16A7,9194
RXYLT1 (10329),RXYLT1,10329
ZNF430 (80264),ZNF430,80264
VAMP8 (8673),VAMP8,8673
DCLRE1B (64858),DCLRE1B,64858
MYL12B (103910),MYL12B,103910
FOXO3 (2309),FOXO3,2309
ARMC2 (84071),ARMC2,84071
