Compuesto completo,Compuesto,n HER2-high,n HER2-low,Mediana AUC HER2-high,Mediana AUC HER2-low,Diferencia de medianas,p-valor,Criterio n>=3,FDR (global)
CANERTINIB (BRD:BRD-K50168500-001-07-9),CANERTINIB,5,5,0.8212459257585515,0.9505704186043828,-0.12932449284583136,0.015873015873015872,Sí,0.38228905597326646
DINACICLIB (BRD:BRD-K13662825-001-07-5),DINACICLIB,4,5,0.781549987843766,0.554394719775519,0.22715526806824693,0.015873015873015872,Sí,0.38228905597326646
GEFITINIB (BRD:BRD-K64052750-001-22-5),GEFITINIB,5,4,0.6751559262881893,0.9187664431011355,-0.2436105168129462,0.015873015873015872,Sí,0.38228905597326646
ALPELISIB (BRD:BRD-K54997624-001-06-0),ALPELISIB,5,2,0.8213148601183294,0.9615272799339383,-0.14021241981560884,0.09523809523809523,No,
LAPATINIB (BRD:BRD-K19687926-001-04-1),LAPATINIB,5,2,0.7938496074216739,0.9443310887617611,-0.1504814813400872,0.09523809523809523,No,
TUCATINIB (BRD:BRD-K26026438-001-01-0),TUCATINIB,5,5,0.6912884420880188,0.906733126252985,-0.2154446841649662,0.09523809523809523,Sí,0.42448979591836733
POZIOTINIB (BRD:BRD-K50010139-001-01-5),POZIOTINIB,3,3,0.3462074136206009,0.9328161423435136,-0.5866087287229127,0.1,Sí,0.42448979591836733
