Métrica,Valor
Media,6.309612556862286
Mediana,5.492047857148129
Desviación estándar,2.3160139427109927
Mínimo,3.5059925243950385
Máximo,11.642241271184114
Percentil 20,4.592383670461582
Percentil 80,7.386692396713945
