ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005201,extracellular matrix structural constituent,34/1587,149/14829,0.22818791946308725,2.1321982720341026,4.808454982030975,1.4281663614087623e-5,0.01658101145595573,0.015845129946577215,LAMA4/COL5A2/NID1/FMOD/COL3A1/ABI3BP/EDIL3/COL16A1/POSTN/NID2/FBN1/MUC5AC/VWF/COL2A1/EFEMP2/COL1A2/COL28A1/VCAN/DCN/SRPX/CTHRC1/SPOCK1/COL5A1/FN1/COL4A6/CRELD1/CHI3L1/CCN1/COL21A1/THBS1/COL8A2/ACAN/MUC4/ELN,34
GO:0005178,integrin binding,32/1587,146/14829,0.2191780821917808,2.0480099438071315,4.405420741025864,5.850262777020041e-5,0.030611563417432576,0.029252992286118076,FGF2/ITGA4/PTN/COL3A1/PLPP3/EDIL3/ADAMTS5/COL16A1/FBN1/ITGB8/VWF/CCN3/FAP/FERMT2/VCAM1/JAM3/SVEP1/CDH26/FRMD5/EMP2/SLC6A4/ADAM23/TLN1/COL5A1/FN1/ITGB3/PTPRZ1/CCN1/F11R/CALR/THBS1/ITGA11,32
GO:0019838,growth factor binding,29/1587,129/14829,0.2248062015503876,2.1005993464339623,4.346286977747697,7.909964707346918e-5,0.030611563417432576,0.029252992286118076,ERBB2/COL3A1/FGFR3/PDGFRB/COL2A1/PDGFRA/TSKU/LRP2/NTRK2/TGFB3/ERBB3/COL1A2/FGFR4/OSMR/IGFBPL1/TGFBR3/LIFR/NRP2/IGFBP1/HTRA1/IGFBP3/CEP57/ACVR1B/COL5A1/ITGB3/RHBDF1/CCN1/THBS1/IGFBP4,29
GO:0015280,ligand-gated sodium channel activity,8/1587,17/14829,0.47058823529411764,4.397197820527077,4.851671705182017,1.6900796330446274e-4,0.04905456134912031,0.04687747192707993,GRIN1/SCNN1G/SHROOM2/SCNN1B/TPCN1/SCNN1A/GRIK4/ASIC3,8
