Compuesto completo,Compuesto,n,Líneas celulares,Rho de Spearman,p-valor_Spearman,FDR_Spearman,n HER2-high,n HER2-low,Mediana AUC HER2-high,Mediana AUC HER2-low,Diferencia de medianas,p-valor_MannWhitney,Criterio n>=3,FDR_MannWhitney
ACIVICIN (BRD:BRD-K13050541-001-01-9),ACIVICIN,17.0,17.0,-0.37990196078431376,0.13254890262758853,0.5308699567441867,,,,,,,,
ACY-1215 (BRD:BRD-K82928847-001-04-7),ACY-1215,19.0,19.0,-0.21052631578947367,0.3869732368316493,0.7663692375297371,3.0,5.0,0.878934472279991,0.908794922275175,-0.029860449995184002,0.5714285714285714,Sí,0.8669950738916256
ADAPREV (BRD:BRD-A73427433-240-01-3),ADAPREV,19.0,19.0,-0.0456140350877193,0.8528960735031589,0.9639855930264206,5.0,5.0,0.811618981100492,0.790246101814396,0.02137287928609599,0.8412698412698413,Sí,1.0
ADAVOSERTIB (BRD:BRD-K54256913-001-08-7),ADAVOSERTIB,16.0,16.0,0.2676470588235294,0.3162544185483094,0.7273113963580073,,,,,,,,
ADEFOVIR-DIPIVOXIL (BRD:BRD-K96159438-001-06-3),ADEFOVIR-DIPIVOXIL,18.0,18.0,-0.13106295149638802,0.6041941281040611,0.8544481574931787,4.0,3.0,0.884040632130696,0.863687373108725,0.020353259021970938,0.6285714285714286,Sí,0.8921658986175115
AEE788 (BRD:BRD-K40718343-001-02-6),AEE788,14.0,14.0,-0.3626373626373627,0.2025645438172416,0.6285637561054869,4.0,4.0,0.8479557622544069,0.919227736781776,-0.07127197452736911,0.4857142857142857,Sí,0.8123642439431913
AEG3482 (BRD:BRD-K77634909-001-03-5),AEG3482,10.0,10.0,-0.24848484848484845,0.4887763045192432,0.804321107938609,,,,,,,,
AFATINIB (BRD:BRD-K66175015-001-12-4),AFATINIB,14.0,14.0,-0.45494505494505494,0.10215352669182919,0.466494998120727,,,,,,,,
AFURESERTIB (BRD:BRD-K25412176-001-01-9),AFURESERTIB,20.0,20.0,-0.4917293233082706,0.027658227513046155,0.28755148979330303,4.0,4.0,0.7441727139258195,0.8283055254969991,-0.08413281157117958,0.11428571428571428,Sí,0.42448979591836733
AG-13736 (BRD:BRD-K29905972-001-06-3),AG-13736,12.0,12.0,-0.15384615384615385,0.6330906812462617,0.8680420365534922,,,,,,,,
AJMALINE (BRD:BRD-A48300215-001-04-8),AJMALINE,13.0,13.0,-0.33516483516483514,0.26294314035936023,0.6830530000476708,,,,,,,,
AK-55409 (BRD:BRD-K58772419-001-07-0),AK-55409,21.0,21.0,0.3103896103896104,0.17087682060108259,0.5932199448549884,4.0,5.0,0.834145604848161,0.753335930912015,0.08080967393614602,0.1111111111111111,Sí,0.42448979591836733
ALBENDAZOLE (BRD:BRD-K79131256-001-17-9),ALBENDAZOLE,18.0,18.0,0.3766769865841073,0.12337214538125062,0.5122689187573556,,,,,,,,
ALECTINIB (BRD:BRD-K11267252-001-05-1),ALECTINIB,10.0,10.0,0.04242424242424241,0.9073638178128159,0.9770759160106299,3.0,3.0,0.9664568119297192,0.9612421078455642,0.005214704084155031,1.0,Sí,1.0
ALEXIDINE (BRD:BRD-A27883417-300-01-6),ALEXIDINE,20.0,20.0,-0.2045112781954887,0.38709023775567697,0.7663692375297371,4.0,4.0,0.889511763572616,0.9115638951755001,-0.022052131602884106,0.34285714285714286,Sí,0.7268978084688055
