Compuesto completo,Compuesto,n,Líneas celulares,Rho de Spearman,p-valor,FDR
A-154475 (BRD:BRD-A27376179-001-01-3),A-154475,15,15,0.6285714285714286,0.012079539175905755,0.22192498824595153
ABT-751 (BRD:BRD-K91623615-001-05-0),ABT-751,20,20,0.5488721804511278,0.012202217962291389,0.22192498824595153
SN38 (BRD:BRD-K89561498-001-01-7),SN38,16,16,0.6088235294117647,0.012315203198246461,0.22192498824595153
NSC-632839 (BRD:BRD-K81197548-003-01-4),NSC-632839,19,19,0.5578947368421052,0.013059921195492315,0.2306382083123943
IDARUBICIN (BRD:BRD-K69650333-003-14-0),IDARUBICIN,19,19,0.5526315789473685,0.014134856843017749,0.24256264117551216
FEXINIDAZOLE (BRD:BRD-K37069697-001-01-3),FEXINIDAZOLE,11,11,0.7090909090909092,0.014552051953727713,0.24256264117551216
FILANESIB (BRD:BRD-K37379014-001-02-0),FILANESIB,14,14,0.6351648351648352,0.014657881327289134,0.24256264117551216
BROXYQUINOLINE (BRD:BRD-K23301018-001-11-7),BROXYQUINOLINE,15,15,0.6142857142857142,0.01483395540597696,0.24256264117551216
DICLAZURIL (BRD:BRD-A06426627-001-03-5),DICLAZURIL,20,20,0.5338345864661653,0.015337046800217394,0.2441677750204731
NMS-1286937 (BRD:BRD-K83699324-001-01-1),NMS-1286937,20,20,0.5308270676691729,0.01603544437677618,0.2441677750204731
GEFITINIB (BRD:BRD-K64052750-001-22-5),GEFITINIB,18,18,-0.5583075335397317,0.01603820039772077,0.2441677750204731
TIVANTINIB (BRD:BRD-K33379087-001-07-5),TIVANTINIB,18,18,0.5583075335397317,0.01603820039772077,0.2441677750204731
BUTYLSCOPOLAMINE-BROMIDE (BRD:BRD-A53951045-004-01-6),BUTYLSCOPOLAMINE-BROMIDE,12,12,0.6713286713286714,0.016831456186893416,0.24532142067760862
BI-2536 (BRD:BRD-K64890080-001-13-8),BI-2536,19,19,0.5403508771929825,0.01691948997160229,0.24532142067760862
AZD5438 (BRD:BRD-K72414522-001-06-7),AZD5438,21,21,0.5142857142857142,0.017071353141816504,0.24532142067760862
PF-03758309 (BRD:BRD-K37764012-001-04-1),PF-03758309,16,16,0.5852941176470587,0.01722528661609483,0.24532142067760862
VINFLUNINE (BRD:BRD-K64120610-001-01-4),VINFLUNINE,22,22,0.5008469791078487,0.017583589103802363,0.24644935204218232
AV-412 (BRD:BRD-K23190681-001-01-1),AV-412,21,21,0.5103896103896104,0.018076642193560668,0.2477711115369701
WZ8040 (BRD:BRD-K81728688-001-04-4),WZ8040,19,19,-0.5350877192982456,0.018239096545756575,0.2477711115369701
10-HYDROXYCAMPTOTHECIN (BRD:BRD-K63784565-001-06-2),10-HYDROXYCAMPTOTHECIN,21,21,0.5064935064935064,0.01912895113475244,0.2559221795755516
TASELISIB (BRD:BRD-K44844162-001-01-6),TASELISIB,19,19,-0.5280701754385965,0.020124315761969946,0.2588831710841135
MAYTANSINOL-ISOBUTYRATE (BRD:BRD-K15898725-001-01-7),MAYTANSINOL-ISOBUTYRATE,12,12,0.6573426573426573,0.020185498509854093,0.2588831710841135
PIDNARULEX (BRD:BRD-K12787259-001-04-3),PIDNARULEX,21,21,0.5025974025974026,0.020229828771012266,0.2588831710841135
VANDETANIB (BRD:BRD-K77625799-001-07-7),VANDETANIB,18,18,-0.5397316821465429,0.020782714646741186,0.2593858020170157
BEXAROTENE (BRD:BRD-K92441787-001-04-1),BEXAROTENE,14,14,-0.6087912087912088,0.020856616017223235,0.2593858020170157
PF-477736 (BRD:BRD-K03063480-001-06-6),PF-477736,20,20,0.5097744360902255,0.02166896662153533,0.2634858439593435
PF-05212384 (BRD:BRD-K07955840-001-02-3),PF-05212384,22,22,-0.4861660079051384,0.021783087892448556,0.2634858439593435
SELINEXOR (BRD:BRD-K21361524-001-01-1),SELINEXOR,21,21,0.4948051948051948,0.022583594997581564,0.26718639931158167
A-674563 (BRD:BRD-K78177893-001-02-4),A-674563,19,19,0.519298245614035,0.022694201527031287,0.26718639931158167
DAUNORUBICIN (BRD:BRD-K43389675-001-02-1),DAUNORUBICIN,19,19,0.5157894736842105,0.02379180877011268,0.2755039064647447
MK 2206 (BRD:BRD-K68065987-300-09-1),MK 2206,20,20,-0.5022556390977443,0.024024689465215566,0.2755039064647447
AZD1480 (BRD:BRD-K65928735-001-04-3),AZD1480,10,10,0.6969696969696969,0.02509667588225185,0.2777820489415888
PHENIRAMINE (BRD:BRD-A23072235-050-18-5),PHENIRAMINE,10,10,-0.6969696969696969,0.02509667588225185,0.2777820489415888
PRACTOLOL (BRD:BRD-A41304429-001-14-8),PRACTOLOL,13,13,-0.6153846153846153,0.025167116551899325,0.2777820489415888
AZ-10353926 (BRD:BRD-K19540840-001-09-4),AZ-10353926,17,17,-0.5392156862745099,0.025503680315881874,0.27802160146819377
EMBELIC ACID (BRD:BRD-K86727142-001-12-4),EMBELIC ACID,17,17,0.5343137254901961,0.027139775804459698,0.28755148979330303
ANISOMYCIN (BRD:BRD-K91370081-001-25-1),ANISOMYCIN,22,22,0.4703557312252965,0.027168310320796737,0.28755148979330303
AFURESERTIB (BRD:BRD-K25412176-001-01-9),AFURESERTIB,20,20,-0.4917293233082706,0.027658227513046155,0.28755148979330303
ICG-001 (BRD:BRD-K94455792-001-01-8),ICG-001,17,17,0.5318627450980392,0.027987612204855013,0.28755148979330303
CP-724714 (BRD:BRD-K76908866-001-07-6),CP-724714,18,18,-0.5170278637770898,0.02800614736378716,0.28755148979330303
ER-27319 (BRD:BRD-K11927976-050-02-9),ER-27319,22,22,0.4669678147939018,0.028449501046477796,0.28874608533379187
